GeneID	SL	SP	XL	XP
Bra025060	46.64803	53.05647	60.02067	74.13098
Bra025061	0.950899	1.8312555	1.2206467	1.9917114
Bra025062	0.127455	1.25886	0.398751	4.85461
Bra025063	0	0	0	0
Bra025064	58.01615	8.87981	41.83152	9.42111
Bra025065	0.9692014	1.841138	0.912692	0.9336214
Bra025066	29.325562	17.202926	26.803365	20.6179674
Bra025067	8.0958353	9.3811217	8.135865	7.734769
Bra025068	0	0	0	0.0561632
Bra025069	24.590817	18.072314	24.145512	18.012171
Bra025070	27.358522	17.773823	29.074392	20.898598
Bra025071	3.47731	3.95121	2.2443641	2.0372067
Bra025072	0.144679	1.06625	0.297419	6.23062
Bra025073	0.123378	0.797327	0.2171425	4.813945
Bra025074	0.2180181	1.049641	0.5241477	6.844152
Bra025075	21.988285	30.08685	23.88594	26.878232
Bra025076	18.190081	15.0858449941	18.592779	20.329903
Bra025077	10.536706	19.231472	10.794996996	16.080666
Bra025078	76.5341	59.7647	68.813	52.9494
Bra025079	44.8118	56.402074	75.5470413	109.252632
Bra025080	12.314553	12.141892	12.778866	11.2194903
Bra025081	4.994802	6.0292074044	3.3285785	5.391841
Bra025082	8.823871	121.17769	13.775245	526.17493
Bra025083	3.74682	14.16758	6.087253	18.63264
Bra025084	0.1251011	0.6670646	0.1466266	0.6141281543
Bra025085	13.23029	10.920095	13.476302	11.114633
Bra025086	1.8771402	1.6082694	2.1706551	2.7487318
Bra025087	18.9686593	21.0037677	19.2524658	24.153571
Bra025088	0.121773	0.287875	0.0850694	0.0994725
Bra025089	7.3083651	8.9613603	7.3643289	10.987939
Bra025090	12.2560229	11.7273148	11.4809962	10.8412502
Bra025091	23.946239	16.546027	17.516574	17.296824
Bra025092	3.635252	3.339525	3.402043	3.273704
Bra025093	41.684455	35.167418	44.093027	21.836701
Bra025094	0	0	0	0
Bra025095	0	0.0329074	0.04965	0.0148927
Bra025096	0	0	0	0
Bra025097	8.86864	8.547037	8.790705	5.998329
Bra025098	27.1587	17.9843	30.0436	25.6479
Bra025099	0	0	0	0
Bra025100	0.00579253	0.0126583	0.0387142	0.0455663
Bra025101	0.1007659998	0.2263241	0.0102991775	0.0357475125
Bra025102	60.737607	61.43288	57.108576	72.91631
Bra025103	0	0	0	0
Bra025104	3.4231102	4.257566	3.24768018	4.7254442
Bra025105	5.5774196	5.0575847	5.8807998	5.5080781
Bra025106	0.50048156	1.16901954	0.5153857984	1.074332774
Bra025107	0.5799623571	0.77014427148	0.65356921773	0.92860193
Bra025108	0	0	0	0
Bra025109	1.3418416685	1.37371711353	2.147679	3.175499
Bra025110	0	0.0276967	0	0.132838
Bra025111	23.040697	23.737103	17.987074	71.324709
Bra025112	0.375116	0.207467	0.232079	0.336986
Bra025113	0	0	0	0
Bra025114	23.586302	15.848441	22.451871	14.150114
Bra025115	0.1790732596	1.179525	0.2305494	7.5142304
Bra025116	0	0.4602724	0	0.802813
Bra025117	1.06046	1.56413	1.82124	2.53368
Bra025118	0	0	0	0
Bra025119	0	0	0	0
Bra025120	0	0	0	0
Bra025121	7.4010615	5.5679591	6.9588634	5.7990557
Bra025122	7.62440964	9.25540881	8.2443274	12.1431086
Bra025123	5.6058782	5.6416246	4.7979375	4.7072098
Bra025124	355.257219	212.13705	347.64034	150.872257
Bra025125	9.684196	9.384796	7.53978	8.3848757
Bra025126	0	0.10609528	0.00813968	0.193707
Bra025127	0.00814994	0	0	0
Bra025128	0	0.0968715	0.0208492	0.0487574
Bra025129	25.686034	28.006101	25.4718511	16.433534
Bra025130	0	0	0	0
Bra025131	0	0	0	0
Bra025132	0	0	0	0
Bra025133	0	0	0	0
Bra025134	0	0	0	0
Bra025135	16.342569	13.460675	16.364051	18.87749
Bra025136	1.2091695	3.3043691	0.8617612395	5.29078609
Bra025137	9.8854446	19.265686	7.8870471	11.850103847
Bra025138	47.6967074	39.4415567	57.3113886	56.1338045
Bra025139	0.382531	0.586972	0.540314	0.99741
Bra025140	54.46073	54.04865	45.20637	37.54588
Bra025141	0.02764584	1.38353203	0.01003274963	1.1230775
Bra025142	40.2896854	48.399158	60.2278937	104.6826972
Bra025143	37.1265	44.818	17.641	12.1835
Bra025144	0.200045	0.515846	0	0.208937
Bra025145	1.0649677	1.2336154	0.7861046	5.4249758
Bra025146	2.841647	5.157334	2.4538322	3.436584
Bra025147	16.1947247	13.1755849	17.5924565	14.3929718
Bra025148	1.77561	3.69556	1.88519	3.14468
Bra025149	41.8864	87.9379	55.0149	83.4079
Bra025150	4.596467	5.2490457	3.3914191	6.8133104
Bra025151	0	0	0	0
Bra025152	0.053492452	1.83354	0.4504576	11.61096
Bra025153	4.71666	3.19068	2.06608	3.66992
Bra025154	0.1835957278	3.902868	0.0291960314	2.6214509
Bra025155	0.11004412042	1.4899349	0.581939	1.066232
Bra025156	3.9038164	30.394999	17.5533611	64.353807
Bra025157	18.3614	9.67831	31.6938	11.2229
Bra025158	0.53121	3.53818	0.530871	8.132875
Bra025159	0.91752417239	5.8206034457	1.1967855845	7.459007683
Bra025160	0	0.0169127	0	0
Bra025161	0	0	0	0
Bra025162	25.662326	16.0432434	20.4728321	17.8741768
Bra025163	0	0	0	0
Bra025164	96.47588	120.00643	169.31883	72.08268
Bra025165	29.235597	31.185337	24.536248	28.697217
Bra025166	0.130919	1.09103	0.25943	8.23597
Bra025167	35.496791	25.816507	42.892869	31.947809
Bra025168	7.0298	12.5439	10.5313	8.90112
Bra025169	9.72447	5.4978	9.50634	4.65261
Bra025170	11.01325	16.48869	15.22125	24.16948
Bra025171	32.890409	49.62475	58.89894	62.22637
Bra025172	0	0	0	0
Bra025173	37.023	44.9913	38.5755	30.72
Bra025174	7.810533	17.293677	15.808728	43.820383
Bra025175	0.317543	1.02676	0.347581	2.00482
Bra025176	0	0	0	0
Bra025177	8.59815	10.8118984	8.1482652	11.8271
Bra025178	11.628283	11.184321	11.92205	11.3588851562
Bra025179	28.31953	33.04846	37.04605	28.08994
Bra025180	0.225622	0.427782	0.203287	0.468547
Bra025181	11.9545645	10.6202466	13.8282637	17.9850997
Bra025182	14.06897	18.45721	13.434334	16.02687
Bra025183	0	0	0	0
Bra025184	1.1052136	3.114847	1.0501473	3.168593
Bra025185	0	0	0	0.00540482
Bra025186	2.656945	1.843113	2.090556	1.054096
Bra025187	0	0	0	0
Bra025188	0.28238	0.532189	0.4102366	0.95746
Bra025189	0.00766496	0	0	0
Bra025190	1.48425	0.051731872303	0.315974	0.0159923
Bra025191	0	0	0	0
Bra025192	39.179402	33.914933	41.965447	9.620491
Bra025193	0.0125234	0	0.00722257	0
Bra025194	0.4173627	1.0069202	1.63411	1.8186713
Bra025195	0	0.00573982	0.00745375	0
Bra025196	37.37336	15.52464	34.176009	9.96327
Bra025197	0.0668253	0.0643663	0.0254411	0
Bra025198	1.872838	4.262927	4.302604	9.898622
Bra025199	0	0.00854194	0.00913187	0.0463382
Bra025200	0	0.209472	0.0424452	1.01842
Bra025201	29.3851	36.5119	34.3845	45.0279
Bra025202	26.4362218	20.508509	24.4812039	16.4055819
Bra025203	16.34245	12.5198	15.46428	13.77085
Bra025204	2.8925598	2.5248929	3.3090104	3.5656278
Bra025205	0.121528	0	0.207497	0
Bra025206	17.322937	19.494201	19.389685	16.692876
Bra025207	0.6206754313	3.356388	1.0990603	10.926718
Bra025208	0.585669	1.1392063	0.4582322269	0.8549198
Bra025209	20.760731	26.428633	18.429916	6.790813
Bra025210	24.84419	60.813469	38.352676	144.697425
Bra025211	17.47029	11.44619	16.2816858	14.7103936
Bra025212	11.9052	12.88426	11.02712	11.08961
Bra025213	25.4193	39.14376	49.09647	83.13427
Bra025214	0	0	0	0.00684517
Bra025215	0	0	0	0
Bra025216	0	0	0	0
Bra025217	0	0	0	0
Bra025218	10.0048	16.0705	11.3174	12.1076
Bra025219	9.988478	39.84035	42.416377	96.229969
Bra025220	19.7098958	17.371869	17.550653	8.9893995
Bra025221	8.23978	9.83594	5.554618	5.444421
Bra025222	10.172337	15.409952	8.674447	12.935867
Bra025223	17.712417	12.904903	13.170738	13.245796
Bra025224	5.87502	9.386272	7.994792	14.967109
Bra025225	51.3544276	38.4799405	41.3427781	48.6998616
Bra025226	8.915191	17.232468	11.900041	19.310918
Bra025227	3.695418	3.40784	3.794663	4.848672
Bra025228	0	0	0	0.00816456
Bra025229	0	0	0.0126834	0.00810901
Bra025230	0	0	0	0.011468
Bra025231	3.9601095	5.398439	3.7543839	2.05104
Bra025232	11.774727	8.775596	17.255214	9.55367
Bra025233	0.252969	0.187448	0.19108	0.0648104
Bra025234	9.30719	10.5422894	10.826483	11.2023964
Bra025235	3.4106831	2.8836721612	2.9192255541	2.842919302
Bra025236	3.973771	5.626388	4.005148	3.567442
Bra025237	7.9812751	6.4041947	8.338406	6.5222042
Bra025238	0.392485937	1.4069363	0.499424	0.6335524
Bra025239	68.196163	57.534258	56.787778268	28.700079
Bra025240	13.433675	18.460964	13.264062	27.606368
Bra025241	2.38367	5.63543	2.26834	7.27979
Bra025242	1.791058	30.35286	1.848444	42.49654
Bra025243	19.304071	20.454912	14.056122	13.456554
Bra025244	4.14017	4.61375	4.15871	8.61797
Bra025245	0.170107	0.1541105	0.1491066	0.5664621
Bra025246	33.05135	28.90484	46.9517	18.352
Bra025247	4.80983	33.8229	0	12.5452
Bra025248	107.4219	148.71275	134.74657	126.57857
Bra025249	0	0	0	0
Bra025250	0.016744	0.7187116	0.07405669	0.83833938
Bra025251	0.0309629	1.885995	0	1.572132
Bra025252	0.0247804	0.0247962	0	0
Bra025253	2.064674	1.822241	1.887216	2.3427499
Bra025254	10.9399882	18.5988542	12.4031572	20.0922175
Bra025255	0.168197	0.101987	0.0930059	0.138378
Bra025256	16.158102	10.410151	13.6456189	10.242099
Bra025257	0.9107349065	16.6759	2.3597713	62.0256
Bra025258	18.995963	19.28631	17.015718	35.42754
